Group ID,Event ID,Venue ID,Event Venue,Event City,Event Address,Event Lon,Event Lat,Group Category,Group Topics,Event Description,Event Title
10366,226225019,1405887,Razzy Fresh,Pittsburgh, 300 S. Craig St.,-79.949497,40.445651,language,Dining Out; Arabic Language; Middle Eastern Music; Language & Culture; ,Ahlain Let's start this week with some games and conversation practice! All levels are welcome and beginners are encouraged to come at 6:00. Our activities will help you learn the basics and more and we will also work on conversational skills. Afterwards we'll practice reading in pairs or small groups. I'll have something for each level but if you have something you want to work on please bring it with you. Hope to see you there! Christine,Let's practice Arabic!
10366,227027634,1405887,Razzy Fresh,Pittsburgh, 300 S. Craig St.,-79.949497,40.445651,language,Dining Out; Arabic Language; Middle Eastern Music; Language & Culture; ,Ahlain Let's start this week with some games and conversation practice! All levels are welcome and beginners are encouraged to come at 6:00. Our activities will help you learn the basics and more and we will also work on conversational skills. Afterwards we'll practice reading in pairs or small groups. I'll have something for each level but if you have something you want to work on please bring it with you. Hope to see you there! Christine,Let's practice Arabic!
10366,226823194,23558137,Crazy Mocha Coffee Company,Pittsburgh, 2809 E Carson St,-79.965431,40.426212,language,Dining Out; Arabic Language; Middle Eastern Music; Language & Culture; ,Ahlain Let's start this week with some games and conversation practice! All levels are welcome and beginners are encouraged to come at 6:00. Our activities will help you learn the basics and more and we will also work on conversational skills. Afterwards we'll practice reading in pairs or small groups. I'll have something for each level but if you have something you want to work on please bring it with you. Hope to see you there! Christine,Let's practice Arabic!
10366,224914340,1405887,Razzy Fresh,Pittsburgh, 300 S. Craig St.,-79.949497,40.445651,language,Dining Out; Arabic Language; Middle Eastern Music; Language & Culture; ,Ahlain Let's start this week with some games and conversation practice! All levels are welcome and beginners are encouraged to come at 6:00. Our activities will help you learn the basics and more and we will also work on conversational skills. Afterwards we'll practice reading in pairs or small groups. I'll have something for each level but if you have something you want to work on please bring it with you. Hope to see you there! Christine,Let's practice Arabic!
10366,226385621,23558137,Crazy Mocha Coffee Company,Pittsburgh, 2809 E Carson St,-79.965431,40.426212,language,Dining Out; Arabic Language; Middle Eastern Music; Language & Culture; ,Ahlain Let's start this week with some games and conversation practice! All levels are welcome and beginners are encouraged to come at 6:00. Our activities will help you learn the basics and more and we will also work on conversational skills. Afterwards we'll practice reading in pairs or small groups. I'll have something for each level but if you have something you want to work on please bring it with you. Hope to see you there! Christine,Let's practice Arabic!
10366,226705534,1405887,Razzy Fresh,Pittsburgh, 300 S. Craig St.,-79.949497,40.445651,language,Dining Out; Arabic Language; Middle Eastern Music; Language & Culture; ,Ahlain Let's start this week with some games and conversation practice! All levels are welcome and beginners are encouraged to come at 6:00. Our activities will help you learn the basics and more and we will also work on conversational skills. Afterwards we'll practice reading in pairs or small groups. I'll have something for each level but if you have something you want to work on please bring it with you. Hope to see you there! Christine,Let's practice Arabic!
10366,224765594,1477047,Panera Bread,Oakland, 3800 Forbes Avenue,-79.956929,40.44156,language,Dining Out; Arabic Language; Middle Eastern Music; Language & Culture; ,Ahlain Let's start this week with some games and conversation practice! All levels are welcome and beginners are encouraged to come at 6:00. Our activities will help you learn the basics and more and we will also work on conversational skills. Afterwards we'll practice reading in pairs or small groups. I'll have something for each level but if you have something you want to work on please bring it with you. Hope to see you there! Christine,Let's practice Arabic!
10366,224592256,23558137,Crazy Mocha Coffee Company,Pittsburgh, 2809 E Carson St,-79.965431,40.426212,language,Dining Out; Arabic Language; Middle Eastern Music; Language & Culture; ,Ahlain Let's start this week with some games and conversation practice! All levels are welcome and beginners are encouraged to come at 6:00. Our activities will help you learn the basics and more and we will also work on conversational skills. Afterwards we'll practice reading in pairs or small groups. I'll have something for each level but if you have something you want to work on please bring it with you. Hope to see you there! Christine,Let's practice Arabic!
10366,224450385,1405887,Razzy Fresh,Pittsburgh, 300 S. Craig St.,-79.949497,40.445651,language,Dining Out; Arabic Language; Middle Eastern Music; Language & Culture; ,Ahlain Let's start this week with some games and conversation practice! All levels are welcome and beginners are encouraged to come at 6:00. Our activities will help you learn the basics and more and we will also work on conversational skills. Afterwards we'll practice reading in pairs or small groups. I'll have something for each level but if you have something you want to work on please bring it with you. Hope to see you there! Christine,Let's practice Arabic!
10366,225923113,23558137,Crazy Mocha Coffee Company,Pittsburgh, 2809 E Carson St,-79.965431,40.426212,language,Dining Out; Arabic Language; Middle Eastern Music; Language & Culture; ,Ahlain Let's start this week with some games and conversation practice! All levels are welcome and beginners are encouraged to come at 6:00. Our activities will help you learn the basics and more and we will also work on conversational skills. Afterwards we'll practice reading in pairs or small groups. I'll have something for each level but if you have something you want to work on please bring it with you. Hope to see you there! Christine,Let's practice Arabic!
