0,Zeke s Coffee,40.461357,-79.924568
1,Wilkins School Community Center,40.430318,-79.893478
2,Quantum Counseling Services,40.692699,-80.105698
3,Temple Baptist Church,40.408634,-79.99115
4,Temple Baptist Church,40.408634,-79.99115
5,Grazie Restaurant and Event Center,40.633961,-80.050583
6,Heinz College - Hamburg Hall,40.444366,-79.94558
7,Carnegie Library of Pittsburgh - Downtown and Business Branch,40.44175,-79.99752
8,PUGDOG S Rock and Bead Shop,40.565886,-79.765609
9,The White Rabbit Cafe and Patisserie,40.303905,-79.544739
10,Cinemark North Hills and XD (McCandless Crossing) ,40.570404,-80.01837
11,Microsoft Corporation,40.448093,-80.003136
12,Andrew Carnegie Free Library and Music Hall,40.406994,-80.085823
13,Starbucks,40.440247,-80.002228
14,Lighthouse Point. 500 Chapel Harbor Drive. O Hara Twnshp Pa. 15238,40.485355,-79.886032
15,Panera Bread - Bakery Square,40.456543,-79.915108
16,Panera Bread 4344 136 Bakery Square,40.438339,-79.997467
17,Lighthouse Point. 500 Chapel Harbor Drive. O Hara Twnshp Pa. 15238,40.485355,-79.886032
18,Murrysville Community Library,40.455193,-79.666946
19,Bessemer Alliance,40.461296,-79.923386
20,Wilkins School Community Center,40.430318,-79.893478
21,Bella Frutteto,40.615174,-80.092667
22,Duke s Rib House and Grille,40.394966,-80.06115
23,Olive or Twist,40.4432,-80.00244
24,En Garde Fencing Club ,40.496241,-79.94392
25,Cathedral of Learning (by the 1st floor Elevators),40.444649,-79.952599
26,Olive or Twist,40.4432,-80.00244
27,Wilkins School Community Center,40.430318,-79.893478
28,L.L.Bean Store at Ross Park Mall,40.54271,-80.00949
29,CHS Oakland Community Pantry,40.433662,-79.961472
30,La Casa Narcisi Winery,40.613205,-79.900291
31,Carnegie Library of Pittsburgh - Downtown and Business,40.441776,-79.997383
32,Wilkins School Community Center,40.430318,-79.893478
33,Latitude 40,40.446178,-80.177849
34,Holistic Approach 4 Life,40.328297,-80.12561
35,Panera,40.436432,-79.958084
36,Summa,40.460442,-79.926735
37,Crazy Mocha - (412) 521-1056,40.432976,-79.917404
38,Magee-Womens Hospital Auditorium Level Zero,40.434307,-79.953354
39,Quantum Counseling Services,40.692699,-80.105698
40,Lot 17,40.46257,-79.950127
41,Crazy Mocha,40.45672,-79.929955
42,East End Food Co-Op,40.448215,-79.895462
43,East End Food Co-Op,40.448452,-79.895866
44,Wilkins School Community Center,40.430318,-79.893478
45,Wilkins School Community Center,40.430318,-79.893478
46,Smiling Moose,40.428715,-79.984962
47,Smiling Moose,40.428715,-79.984962
48,Adam s Ridge Clubhouse,40.684216,-80.050003
49,Pittsburgh Marriott City Center,40.439758,-79.991226
50,Marriott City Center - Pittsburgh,40.439758,-79.992439
51,Bethel Park Library,40.332137,-80.031073
52,A Mother s Boutique,40.6254298,-80.0537051
53,Mt. Lebanon Public Library,40.37701,-80.045265
54,Carnegie Museum of Art and Natural History,40.444138,-79.949265
55,Carnegie Museum of Art and Natural History,40.444138,-79.949265
56,Kings Family Restaurant,40.256481,-80.150963
57,Hofbr uhaus Pittsburgh,40.427914,-79.965233
58,Claddagh Irish Pub (Southside Works),40.428202,-79.964952
59,Claddagh Irish Pub,40.428202,-79.964952
60,Claddagh Irish Pub,40.428202,-79.964952
61,Panera Bread,40.633533,-80.059784
62,M Modal,40.437515,-79.92305
63,Performance Bicycle,40.458889,-79.917595
64,En Garde Fencing Club ,40.496241,-79.94392
65,Pittsburgh Technology Council,40.434158,-79.970299
66,Pittsburgh Public Theater,40.443027,-80.00106
67,Heritage Valley Sewickley,40.543304,-80.177643
68,Cost Center,40.4474352,-79.9597794
69,The Avenue Theater,40.700504,-80.28228
70,Eat N Park ,40.4492,-80.163345
71,McLaughlin Run Road Recreation Center Room,40.335861,-80.074348
72,Pair Networks,40.429848,-79.969833
73,Youtopia dance studio,40.435703,-79.922905
74,Youtopia dance studio,40.435703,-79.922905
75,Friends House,40.449139,-79.945808
76,21st Street Coffee and Tea,40.451702,-79.984444
77,TurnOn Pittsburgh,40.45903,-79.923882
78,Harris Theater,40.442879,-79.998611
79,Galleria,40.356956,-80.05043
80,Quantum Counseling Services,40.692699,-80.105698
81,Moon Township Public Library,40.475914,-80.174187
82,Quantum Counseling Services,40.692699,-80.105698
83,Jacksons Restaurant,40.508793,-80.223083
84,La Roche College,40.568439,-80.012024
85,Summa,40.460442,-79.926735
86,Immaculate Heart of Mary Church,40.456392,-79.967908
87,St Nicholas Serbian Orthodox,40.404789,-79.757034
88,Swisshelm Park Community Center,40.424454,-79.90132
89,Family Restaurant ,40.384995,-79.978584
90,Family Restaurant ,40.384995,-79.978584
91,Family Restaurant ,40.384995,-79.978584
92,Game Masters,40.541824,-80.02695
93,Animal Friends,40.522995,-80.079155
94,CAVO Pittsburgh ,40.451527,-79.98497
95,Online Event,40.440624,-79.995888
96,Rocky s Route 8,40.543961,-79.963013
97,Allegheny Center Alliance Church,40.453106,-80.003494
98,Mt Lebanon Tennis Center,40.374264,-80.057274
99,Future Tenant,40.443642,-79.998665
100,Smithfield and Blvd of Allies Garage,40.437782,-80.00016
101,Smithfield and Blvd of Allies Garage,40.437782,-80.00016
102,The Triplex,40.4557,-79.895767
103,Beechwood Farms Nature Reserve,40.542927,-79.909286
104,Performance Bicycle,40.458889,-79.917595
105,Casa de Cardentey,40.705158,-79.983467
106,First Unitarian Church,40.450757,-79.943
107,Embassy Suites,40.495162,-80.205357
108,Coffee Tree Roaster Meeting Room Shadyside,40.451405,-79.932838
109,Christ Church at Grove Farm,40.552092,-80.111189
110,Northland Public Library,40.571003,-80.034645
111,Crazy Mocha,40.433531,-79.923204
112,Schenley Oval Sportsplex,40.431979,-79.94216
113,L.L.Bean Store at Ross Park Mall,40.54268,-80.00944
114,Smiling Moose,40.428715,-79.984962
115,Smiling Moose,40.428715,-79.984962
116,Kings Family Restaurants,40.616222,-80.093391
117,Kings Family Restaurant,40.617134,-80.093559
118,Phoenix 18,40.366787,-80.106682
119,Schwartz Market,40.428825,-79.98455
120,Schwartz Market,40.429133,-79.984559
121,Game Masters,40.541824,-80.02695
122,First Unitarian Church,40.450757,-79.943
123,Panera Bread,40.436432,-79.958084
124,Hartwood Acres Park - Middle Road Parking Lot,40.570553,-79.927246
125,Crazy Mocha,40.682093,-80.12342
126,Peter s Pub,40.441841,-79.957336
127,Carnegie Library of Pittsburgh - East Liberty,40.460835,-79.926414
128,Carnegie Library of Pittsburgh - Downtown and Business Branch,40.44175,-79.99752
129,Claddagh Irish Pub,40.428202,-79.964952
130,mad mex,40.458241,-79.92527
131,Soldiers and Sailors Hall,40.444292,-79.955443
132,Mad Mex,40.458237,-79.925461
133,Mad Mex,40.458237,-79.925461
134,Mad Mex Shadyside,40.458221,-79.925133
135,Thunderbird Cafe,40.469284,-79.961594
136,The New Bohemian,40.452686,-79.993263
137,The Big Idea Cooperative Bookstore and Cafe,40.46014,-79.946754
138,Millvale Community Center,40.480885,-79.972717
139,Eighty Acres,40.451435,-79.714752
140,Westmoreland Gaming Sportscards and Comics,40.3134036,-79.3895681
141,Lynch Field,40.258644,-79.571187
142,Carnegie Library Main (Oakland),40.444139,-79.949267
143,Squirrel Hill Library Rm. B,40.438122,-79.922546
144,Carnegie Library Squirrel Hill,40.438137,-79.922536
145,The Inn on Negley,40.453358,-79.931458
146,Carnegie Library Squirrel Hill,40.438137,-79.922536
147,Piper s Pub,40.428591,-79.979517
148,Carnegie Library Squirrel Hill,40.438137,-79.922536
149,Papa J s Ristorante,40.40823,-80.085305
150,Skibo Small Gym,40.441628,-79.941551
151,Crazy Mocha Coffee Company,40.426212,-79.965431
152,Brew on Broadway,40.410015,-80.024681
153,Arcade Comedy Theater,40.4430326,-79.998586
154,Arcade Comedy Theater,40.4430326,-79.998586
155,Yoga Digs ,40.428734,-79.986038
156,Zeke s Coffee,40.461357,-79.924568
157,2100 Mosside Boulevard ,40.423576,-79.760391
158,Wilkins School Community Center,40.430318,-79.893478
159,Temple Baptist Church,40.408634,-79.99115
160,Row House Cinema,40.469887,-79.960838
161,Row House Cinema,40.469887,-79.960838
162,725 Fisher Hall - Duquesne University,40.437618,-79.989601
163,Quantum Counseling Services,40.692699,-80.105698
164,Primanti Brothers,40.438511,-79.776917
165,Cadillac Ranch ,40.423784,-80.041341
166,Unitarian Universalist Church of North Hills,40.584347,-80.081696
167,Cadilac Ranch,40.458056,-80.128333
168,CRAFTON - INGRAM LANES,40.435069,-80.066166
169,Pugliano s Italian Grill,40.447395,-79.71302
170,Aladdins Eatery,40.513401,-79.879776
171,Frick Fine Arts Auditorium,40.444595,-79.959839
172,Jacktown Ride and Hunt Club,40.3297,-79.733032
173,Jacktown Ride and Hunt Club,40.3297,-79.733032
174,Andrew Carnegie Free Library and Music Hall,40.406994,-80.085823
175,En Garde Fencing Club ,40.496241,-79.94392
176,Panera Bread - Bakery Square,40.456543,-79.915108
